time,min,mean,max,median,rms,VLP,LP,VT,fratio
1057708800.0,0.0,0.0,0.0,0.0,0.0,0.1507770714737613,0.0069008093921468,0.0008594966462606,-3.0052016692659658
1057708860.0,0.0,0.0,0.0,0.0,0.0,0.0174154767929211,3.381178912658808e-16,5.597985361803057e-16,0.7273813569808901
1057708920.0,0.0,0.0,0.0,0.0,0.0,0.001301469908507,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057708980.0,0.0,0.0,0.0,0.0,0.0,0.0001418373437511,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057709040.0,0.0,0.0,0.0,0.0,0.0,1.1360287463696654e-05,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057709100.0,0.0,0.0,0.0,0.0,0.0,8.272338889158012e-07,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057709160.0,0.0,0.0,0.0,0.0,0.0,8.949316773226692e-08,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057709220.0,0.0,0.0,0.0,0.0,0.0,7.388304344965895e-09,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057709280.0,0.0,0.0,0.0,0.0,0.0,5.288222469593139e-10,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057709340.0,0.0,0.0,0.0,0.0,0.0,5.62374429233727e-11,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057709400.0,0.0,0.0,0.0,0.0,0.0,4.796996133123668e-12,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057709460.0,0.0,0.0,0.0,0.0,0.0,3.400055590454364e-13,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057709520.0,0.0,0.0,0.0,0.0,0.0,3.641868704549116e-14,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057709580.0,0.0,0.0,0.0,0.0,0.0,9.836384757300278e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057709640.0,0.0,0.0,0.0,0.0,0.0,9.490144841554572e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057709700.0,0.0,0.0,0.0,0.0,0.0,9.511759927256399e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057709760.0,0.0,0.0,0.0,0.0,0.0,9.492322821562886e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057709820.0,0.0,0.0,0.0,0.0,0.0,9.495412874022046e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057709880.0,0.0,0.0,0.0,0.0,0.0,9.510069130706616e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057709940.0,0.0,0.0,0.0,0.0,0.0,9.488598913186915e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057710000.0,0.0,0.0,0.0,0.0,0.0,9.505652564034768e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057710060.0,0.0,0.0,0.0,0.0,0.0,9.500726401354503e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057710120.0,0.0,0.0,0.0,0.0,0.0,9.489627831107662e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057710180.0,0.0,0.0,0.0,0.0,0.0,9.51180689696044e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057710240.0,0.0,0.0,0.0,0.0,0.0,9.492305366930639e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057710300.0,0.0,0.0,0.0,0.0,0.0,9.495412741459164e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057710360.0,0.0,0.0,0.0,0.0,0.0,9.510069110991335e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057710420.0,0.0,0.0,0.0,0.0,0.0,9.488598919636351e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057710480.0,0.0,0.0,0.0,0.0,0.0,9.505652564453235e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057710540.0,0.0,0.0,0.0,0.0,0.0,9.500726401355423e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057710600.0,0.0,0.0,0.0,0.0,0.0,9.489627831110792e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057710660.0,0.0,0.0,0.0,0.0,0.0,9.511806896952504e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057710720.0,0.0,0.0,0.0,0.0,0.0,9.492305366933085e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057710780.0,0.0,0.0,0.0,0.0,0.0,9.495412741464108e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057710840.0,0.0,0.0,0.0,0.0,0.0,9.5100691109831e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057710900.0,0.0,0.0,0.0,0.0,0.0,9.488598919637172e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057710960.0,0.0,0.0,0.0,0.0,0.0,9.505652564461471e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711020.0,0.0,0.0,0.0,0.0,0.0,9.500726401348013e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711080.0,0.0,0.0,0.0,0.0,0.0,9.48962783110832e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057711140.0,0.0,0.0,0.0,0.0,0.0,9.511806896960738e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057711200.0,0.0,0.0,0.0,0.0,0.0,9.492305366928968e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057711260.0,0.0,0.0,0.0,0.0,0.0,9.495412741458342e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711320.0,0.0,0.0,0.0,0.0,0.0,9.510069110991335e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711380.0,0.0,0.0,0.0,0.0,0.0,9.488598919636351e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711440.0,0.0,0.0,0.0,0.0,0.0,9.505652564453235e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057711500.0,0.0,0.0,0.0,0.0,0.0,9.500726401355423e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057711560.0,0.0,0.0,0.0,0.0,0.0,9.489627831110792e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711620.0,0.0,0.0,0.0,0.0,0.0,9.511806896952504e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711680.0,0.0,0.0,0.0,0.0,0.0,9.492305366933085e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711740.0,0.0,0.0,0.0,0.0,0.0,9.495412741464108e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711800.0,0.0,0.0,0.0,0.0,0.0,9.5100691109831e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711860.0,0.0,0.0,0.0,0.0,0.0,9.488598919637172e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057711920.0,0.0,0.0,0.0,0.0,0.0,9.505652564461471e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057711980.0,0.0,0.0,0.0,0.0,0.0,9.500726401348013e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057712040.0,0.0,0.0,0.0,0.0,0.0,9.48962783110832e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057712100.0,0.0,0.0,0.0,0.0,0.0,9.511806896960738e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057712160.0,0.0,0.0,0.0,0.0,0.0,9.492305366928968e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057712220.0,0.0,0.0,0.0,0.0,0.0,9.495412741458342e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057712280.0,0.0,0.0,0.0,0.0,0.0,9.510069110991335e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057712340.0,0.0,0.0,0.0,0.0,0.0,9.488598919636351e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057712400.0,0.0,0.0,0.0,0.0,0.0,9.505652564453235e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057712460.0,0.0,0.0,0.0,0.0,0.0,9.500726401355423e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057712520.0,0.0,0.0,0.0,0.0,0.0,9.489627831110792e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057712580.0,0.0,0.0,0.0,0.0,0.0,9.511806896952504e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057712640.0,0.0,0.0,0.0,0.0,0.0,9.492305366933085e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057712700.0,0.0,0.0,0.0,0.0,0.0,9.495412741464108e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057712760.0,0.0,0.0,0.0,0.0,0.0,9.5100691109831e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057712820.0,0.0,0.0,0.0,0.0,0.0,9.488598919637172e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057712880.0,0.0,0.0,0.0,0.0,0.0,9.505652564461471e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057712940.0,0.0,0.0,0.0,0.0,0.0,9.500726401348013e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057713000.0,0.0,0.0,0.0,0.0,0.0,9.48962783110832e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057713060.0,0.0,0.0,0.0,0.0,0.0,9.511806896960738e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057713120.0,0.0,0.0,0.0,0.0,0.0,9.492305366928968e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057713180.0,0.0,0.0,0.0,0.0,0.0,9.495412741458342e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057713240.0,0.0,0.0,0.0,0.0,0.0,9.510069110991335e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057713300.0,0.0,0.0,0.0,0.0,0.0,9.488598919636351e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057713360.0,0.0,0.0,0.0,0.0,0.0,9.505652564453235e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057713420.0,0.0,0.0,0.0,0.0,0.0,9.500726401355423e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057713480.0,0.0,0.0,0.0,0.0,0.0,9.489627831110792e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057713540.0,0.0,0.0,0.0,0.0,0.0,9.511806896952504e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057713600.0,0.0,0.0,0.0,0.0,0.0,9.492305366933085e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057713660.0,0.0,0.0,0.0,0.0,0.0,9.495412741464108e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057713720.0,0.0,0.0,0.0,0.0,0.0,9.5100691109831e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057713780.0,0.0,0.0,0.0,0.0,0.0,9.488598919637172e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057713840.0,0.0,0.0,0.0,0.0,0.0,9.505652564461471e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057713900.0,0.0,0.0,0.0,0.0,0.0,9.500726401348013e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057713960.0,0.0,0.0,0.0,0.0,0.0,9.48962783110832e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057714020.0,0.0,0.0,0.0,0.0,0.0,9.511806896960738e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057714080.0,0.0,0.0,0.0,0.0,0.0,9.492305366928968e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057714140.0,0.0,0.0,0.0,0.0,0.0,9.495412741458342e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057714200.0,0.0,0.0,0.0,0.0,0.0,9.510069110991335e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057714260.0,0.0,0.0,0.0,0.0,0.0,9.488598919636351e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057714320.0,0.0,0.0,0.0,0.0,0.0,9.505652564453235e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057714380.0,0.0,0.0,0.0,0.0,0.0,9.500726401355423e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057714440.0,0.0,0.0,0.0,0.0,0.0,9.489627831110792e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057714500.0,0.0,0.0,0.0,0.0,0.0,9.511806896952504e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057714560.0,0.0,0.0,0.0,0.0,0.0,9.492305366933085e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057714620.0,0.0,0.0,0.0,0.0,0.0,9.495412741464108e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057714680.0,0.0,0.0,0.0,0.0,0.0,9.5100691109831e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057714740.0,0.0,0.0,0.0,0.0,0.0,9.488598919637172e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057714800.0,0.0,0.0,0.0,0.0,0.0,9.505652564461471e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057714860.0,0.0,0.0,0.0,0.0,0.0,9.500726401348013e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057714920.0,0.0,0.0,0.0,0.0,0.0,9.48962783110832e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057714980.0,0.0,0.0,0.0,0.0,0.0,9.511806896960738e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057715040.0,0.0,0.0,0.0,0.0,0.0,9.492305366928968e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057715100.0,0.0,0.0,0.0,0.0,0.0,9.495412741458342e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057715160.0,0.0,0.0,0.0,0.0,0.0,9.510069110991335e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057715220.0,0.0,0.0,0.0,0.0,0.0,9.488598919636351e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057715280.0,0.0,0.0,0.0,0.0,0.0,9.505652564453235e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057715340.0,0.0,0.0,0.0,0.0,0.0,9.500726401355423e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057715400.0,0.0,0.0,0.0,0.0,0.0,9.489627831110792e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057715460.0,0.0,0.0,0.0,0.0,0.0,9.511806896952504e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057715520.0,0.0,0.0,0.0,0.0,0.0,9.492305366933085e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057715580.0,0.0,0.0,0.0,0.0,0.0,9.495412741464108e-15,3.3811789126588484e-16,5.597985361803057e-16,0.7273813569808729
1057715640.0,0.0,0.0,0.0,0.0,0.0,9.5100691109831e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
1057715700.0,0.0,0.0,0.0,0.0,0.0,9.488598919637172e-15,3.381178912658848e-16,5.597985361803057e-16,0.7273813569808731
