,depth,vp,vs,rho
0,0.5,1.347759129959156,0.7790515202076047,0.843895999690377
1,1.0,1.506632963670282,0.870886106167793,0.8439525384212349
2,3.0,3.3844526092580685,1.9563309880104442,0.8446208016403053
3,6.0,4.929278563149306,2.849293967138327,0.8451705617662453
4,10.0,5.4495,3.15,0.845355693950178
